episode,horizon_min,n,n_pos,pos_rate
UST_Terra,30,1158,9,0.00777
UST_Terra,60,1158,16,0.01382
UST_Terra,240,1158,45,0.03886
UST_Terra,1440,1158,174,0.15026
USDT_Oct2018,30,97,1,0.01031
USDT_Oct2018,60,97,1,0.01031
USDT_Oct2018,240,97,1,0.01031
USDT_Oct2018,1440,97,1,0.01031
USDT_May2022,30,582,7,0.01203
USDT_May2022,60,582,12,0.02062
USDT_May2022,240,582,30,0.05155
USDT_May2022,1440,582,114,0.19588
FRAX_SVB,30,1014,25,0.02465
FRAX_SVB,60,1014,43,0.04241
FRAX_SVB,240,1014,104,0.10256
FRAX_SVB,1440,1014,296,0.29191
DAI_FTX,30,338,8,0.02367
DAI_FTX,60,338,11,0.03254
DAI_FTX,240,338,24,0.07101
DAI_FTX,1440,338,55,0.16272
BUSD_winddown,30,290,0,0.0
BUSD_winddown,60,290,0,0.0
BUSD_winddown,240,290,0,0.0
BUSD_winddown,1440,290,0,0.0
USDC_SVB,30,845,24,0.0284
USDC_SVB,60,845,41,0.04852
USDC_SVB,240,845,95,0.11243
USDC_SVB,1440,845,249,0.29467
