src_node,dst_node,mean_attn,std_attn,n_obs
USDC/binance,TUSD/binance,0.5106826027234396,0.012706589883631164,3
USDT/coinbase,BUSD/binance,0.49579840898513794,0.002809222887761485,3
BUSD/binance,USDT/coinbase,0.4117503039952781,0.12740529510645912,12
USDC/binance,USDP/binance,0.34018514553705853,0.01152255238268116,3
TUSD/binance,USDP/binance,0.3257593363523483,0.006541052566447008,3
USDC/binance,BUSD/binance,0.2521485686302185,0.005898631286299095,3
USDP/binance,BUSD/binance,0.24759628685812154,0.00772086330546355,3
TUSD/binance,BUSD/binance,0.24143755560119948,0.008191318490408243,3
USDC/binance,USDT/coinbase,0.1998967013011376,0.0035600431640273713,3
USDP/binance,USDT/coinbase,0.1963127019504706,0.00809296672592339,3
TUSD/binance,USDT/coinbase,0.19154366416235766,0.00868111881804267,3
