feature,gain,base
ou_half_life_lag30,45.704246520996094,ou_half_life
rvol_24h_lag30,34.66279983520508,rvol_24h
ou_half_life_lag60,24.41094398498535,ou_half_life
kyle_lambda,11.599872589111328,kyle_lambda
rvol_24h_lag60,11.06436538696289,rvol_24h
log_vol_1h_lag1,10.141599655151367,log_vol_1h
log_vol_1h,8.843860626220703,log_vol_1h
rvol_24h,7.827136516571045,rvol_24h
price_ratio,6.1712141036987305,price_ratio
kyle_lambda_lag1,5.731118202209473,kyle_lambda
ou_half_life_lag5,5.636019229888916,ou_half_life
rvol_1h_lag30,5.409136772155762,rvol_1h
price_ratio_lag10,5.2024335861206055,price_ratio
ou_half_life_lag1,5.13586950302124,ou_half_life
rvol_24h_lag1,4.808761119842529,rvol_24h
ou_half_life,4.766525745391846,ou_half_life
rvol_1h_lag60,4.745405197143555,rvol_1h
kyle_lambda_lag5,4.7119832038879395,kyle_lambda
rvol_24h_lag5,4.344099044799805,rvol_24h
amihud_lag10,3.762554168701172,amihud
price_ratio_lag1,3.2121753692626953,price_ratio
log_vol_1h_lag30,3.094952344894409,log_vol_1h
price_ratio_lag30,2.992337465286255,price_ratio
price_ratio_lag5,2.8656961917877197,price_ratio
kyle_lambda_lag60,2.788738489151001,kyle_lambda
amihud_lag5,2.6555399894714355,amihud
amihud_lag30,2.599968194961548,amihud
ou_half_life_lag10,2.504072666168213,ou_half_life
price_ratio_lag60,2.466277837753296,price_ratio
amihud_lag60,2.3641138076782227,amihud
rvol_1h_lag1,2.3588979244232178,rvol_1h
amihud,2.305205821990967,amihud
log_vol_1h_lag5,2.284013509750366,log_vol_1h
amihud_lag1,2.0973899364471436,amihud
kyle_lambda_lag30,2.07193922996521,kyle_lambda
rvol_24h_lag10,2.017625093460083,rvol_24h
log_vol_1h_lag60,1.96902334690094,log_vol_1h
log_vol_1h_lag10,1.944062352180481,log_vol_1h
rvol_1h,1.6488275527954102,rvol_1h
kyle_lambda_lag10,1.3545361757278442,kyle_lambda
rvol_1h_lag5,1.0454005002975464,rvol_1h
rvol_1h_lag10,0.9648064374923706,rvol_1h
